time_step,action_value,prior_action,semantic_scenario_key,grid_kwh,cost,carbon_kg,import_kw,controller_peak_hour,mean_soc
0,0.0,0.0,peak_aware,8.055133443705238,1.7721293045670183,1.3752078735342241,8.055133443705238,False,0.0
1,0.0,0.0,peak_aware,4.665883344936368,1.0264943391642571,0.7340323489205112,4.665883344936368,False,0.0
2,0.0,0.0,peak_aware,2.9147168214162207,0.641237698327382,0.45033118941647565,2.9147168214162207,False,0.0
3,0.0,0.0,peak_aware,2.3755667322635645,0.5226246861643791,0.3585796135685708,2.3755667322635645,False,0.0
4,0.0,0.0,peak_aware,2.979900163682302,0.655578024685223,0.45240805350434954,2.979900163682302,False,0.0
5,0.0,0.0,peak_aware,3.5377333562533053,0.7783013502966565,0.5592739776511966,3.5377333562533053,False,0.0
6,0.0,0.0,peak_aware,3.1261833533644676,0.6877603200264275,0.5106704011559486,3.1261833533644676,False,0.0
7,0.1,0.0,peak_aware,4.260350078344345,0.9372770190238953,0.70017134770751,4.260350078344345,False,0.0698934629559517
8,0.0,0.0,peak_aware,2.6775167919695377,0.5890537076629698,0.6249555200338364,2.6775167919695377,False,0.0698934629559517
9,0.0,0.0,peak_aware,0.12983345985412598,0.02856336161494255,0.4949345737695694,0.12983345985412598,False,0.0698934629559517
10,0.0,0.0,peak_aware,-1.3335666060447693,-0.2933846786618233,0.3666182979941368,0.0,False,0.0698934629559517
11,0.0,0.0,peak_aware,-2.8973666429519653,-0.6374206840991974,0.29500657320022583,0.0,False,0.0698934629559517
